I,Ibn,Rb,omen,thez
0.0,0.0,2.728682330673211,-185.93235763798893,111.13449749951832
0.0,0.0,2.7461041479422907,-170.93235763798893,110.85204705362956
0.0,0.0,2.958692776705514,-155.93235763798893,107.93776929510216
0.0,0.0,3.5904361609220956,-140.93235763798893,102.70381751142577
0.0,0.0,6.351798469211409,-125.9323576379889,95.60904977087665
27.0,98.0,0.0,-110.93235763798891,87.12232864730456
99.0,110.0,0.0,-95.93235763798891,77.65262806276938
280.0,411.0,0.1095339254595737,-80.93235763798891,67.54165191112514
432.0,499.0,0.4870128524836457,-65.93235763798891,57.09390949435301
543.0,423.0,0.6737061821262608,-50.932357637988915,46.63803344296774
636.0,387.0,0.7757156529960388,-35.932357637988915,36.65283837373581
802.0,579.0,0.8306879159302097,-20.932357637988915,28.070625591226538
796.0,521.0,0.8540395962823262,-5.9323576379889165,22.861139800621004
791.0,519.0,0.8513929407443511,9.067642362011085,23.530648218300104
791.0,578.0,0.8221372376715931,24.067642362011085,29.671890487492142
609.0,348.0,0.7590679231403891,39.067642362011085,38.66594969100638
396.0,142.0,0.6436533451305242,54.06764236201106,48.804471636607495
339.0,175.0,0.42996783214769957,69.06764236201106,59.29040428133592
226.0,285.0,0.0,84.06764236201106,69.69286081240945
83.0,86.0,0.0,99.06764236201106,79.69553207317321
16.0,0.0,0.0,114.06764236201106,88.98999813322494
0.0,0.0,5.24574364035304,129.06764236201104,97.22201390379776
0.0,0.0,3.393976979539248,144.06764236201104,103.96780561112408
0.0,0.0,2.892481975607843,159.06764236201104,108.75230654834652
